model,rtol,epoch,params,train_loss,train_accuracy,test_loss,test_accuracy,train_seconds,test_seconds,nfe_mean,peak_memory_mb,adjoint,seed
odenet,0.001,1,19274,1.297375969473521,0.5584,0.5666203632831573,0.8314,190.17099019999998,18.14004159999999,42.52878464818763,489.41650390625,False,2
odenet,0.001,2,19274,0.43002272232373556,0.8621833333333333,0.33677296769618986,0.8796,250.62467909999998,20.983587,51.88059701492537,581.60205078125,False,2
odenet,0.001,3,19274,0.2386873572031657,0.9342166666666667,0.17047619228363037,0.9556,280.4306182,22.342605400000025,56.42217484008529,581.60205078125,False,2
odenet,0.001,4,19274,0.15560930440227191,0.9583833333333334,0.16313432575464248,0.956,307.0717218,20.68168750000018,60.6183368869936,581.60205078125,False,2
odenet,0.001,5,19274,0.11740327478349209,0.9682166666666666,0.07311237837076187,0.981,261.1362613000001,22.340094099999988,61.91044776119403,627.74169921875,False,2
resnet,0.001,1,19338,1.441482594680786,0.4751166666666667,1.090573984336853,0.5721,9.209313500000007,0.6027330000001712,0.0,65.6875,False,2
resnet,0.001,2,19338,0.8864033195177714,0.7032166666666667,0.7170249619483948,0.7983,9.472447800000054,0.6104228000001513,0.0,65.6875,False,2
resnet,0.001,3,19338,0.5984455867449443,0.8125333333333333,0.4719917496204376,0.862,9.328037999999879,0.6301140999999006,0.0,65.6875,False,2
resnet,0.001,4,19338,0.44751629157066347,0.8624666666666667,0.374909725189209,0.8888,9.257813399999804,0.6350737000000208,0.0,65.6875,False,2
resnet,0.001,5,19338,0.36648868934313455,0.88955,0.2811002676129341,0.9269,9.303046400000085,0.6361451000000216,0.0,65.6875,False,2

